stadium_id,stadium_name,city,capacity
1,Camp Nou,Barcelona,121401
2,Sarria,Barcelona,40400
3,Santiago Bernabeu,Madrid,90089
4,Vicente Calderon,Madrid,65695
5,Ramon Sanchez Pizjuan,Sevilla,68110
6,Benito Villamarin,Sevilla,50253
7,Nuevo Estadio,Elche,53290
8,Luis Casanova,Valencia,49562
9,San Mames,Bilbao,46223
10,El Molinon,Gijon,45153
11,La Rosaleda,Malaga,45000
12,La Romareda,Zaragoza,41806
13,Riazor,La Coruña,34190
14,Balaidos,Vigo,33000
15,Jose Rico Perez,Alicante,32500
16,Jose Zorrilla,Valladolid,30043
17,Carlos Tartiere,Oviedo,22284
